"qname","qtype","dimension","ecode","value","rescaled_value","identity"
"Q752_1","affective","evaluation",34.100279099797,0,0.5,"adult"
"Q752_1","affective","evaluation",48.2676862853737,0,0.5,"adult"
"Q752_1","affective","evaluation",54.0849649885402,0,0.5,"adult"
"Q752_1","affective","evaluation",41.646975005429,0.9,0.604651162790698,"adult"
"Q752_1","affective","evaluation",44.582744440898,-0.6,0.430232558139535,"adult"
"Q752_1","affective","evaluation",21.0537053381684,0,0.5,"adult"
"Q752_1","affective","evaluation",18.0546397164126,1,0.616279069767442,"adult"
"Q752_1","affective","evaluation",37.3213952040117,0,0.5,"adult"
"Q752_1","affective","evaluation",41.9465678492437,2,0.732558139534884,"adult"
"Q752_1","affective","evaluation",46.570440877129,1.9,0.720930232558139,"adult"
"Q752_1","affective","evaluation",16.1789553866673,1.5,0.674418604651163,"adult"
"Q752_1","affective","evaluation",19.9593024861438,1.9,0.720930232558139,"adult"
"Q752_1","affective","evaluation",21.4620945338304,0.1,0.511627906976744,"adult"
"Q752_1","affective","evaluation",18.690694542064,-0.3,0.465116279069767,"adult"
"Q752_1","affective","evaluation",23.157884419234,1.1,0.627906976744186,"adult"
"Q752_1","affective","evaluation",20.7439652429297,2.6,0.802325581395349,"adult"
"Q753_1","affective","potency",34.100279099797,0.4,0.546511627906977,"adult"
"Q753_1","affective","potency",48.2676862853737,1,0.616279069767442,"adult"
"Q753_1","affective","potency",54.0849649885402,2,0.732558139534884,"adult"
"Q753_1","affective","potency",41.646975005429,1,0.616279069767442,"adult"
"Q753_1","affective","potency",44.582744440898,2,0.732558139534884,"adult"
"Q753_1","affective","potency",21.0537053381684,1.1,0.627906976744186,"adult"
"Q753_1","affective","potency",18.0546397164126,2.4,0.77906976744186,"adult"
"Q753_1","affective","potency",37.3213952040117,1.9,0.720930232558139,"adult"
"Q753_1","affective","potency",41.9465678492437,1.8,0.709302325581395,"adult"
"Q753_1","affective","potency",46.570440877129,1.9,0.720930232558139,"adult"
"Q753_1","affective","potency",16.1789553866673,1.5,0.674418604651163,"adult"
"Q753_1","affective","potency",19.9593024861438,0.7,0.581395348837209,"adult"
"Q753_1","affective","potency",21.4620945338304,0.1,0.511627906976744,"adult"
"Q753_1","affective","potency",18.690694542064,-0.3,0.465116279069767,"adult"
"Q753_1","affective","potency",23.157884419234,1.5,0.674418604651163,"adult"
"Q753_1","affective","potency",20.7439652429297,1,0.616279069767442,"adult"
"Q754_1","affective","activity",34.100279099797,0.1,0.511627906976744,"adult"
"Q754_1","affective","activity",48.2676862853737,-1,0.383720930232558,"adult"
"Q754_1","affective","activity",54.0849649885402,0.1,0.511627906976744,"adult"
"Q754_1","affective","activity",41.646975005429,-1,0.383720930232558,"adult"
"Q754_1","affective","activity",44.582744440898,1.7,0.697674418604651,"adult"
"Q754_1","affective","activity",21.0537053381684,1.1,0.627906976744186,"adult"
"Q754_1","affective","activity",18.0546397164126,0.9,0.604651162790698,"adult"
"Q754_1","affective","activity",37.3213952040117,-2,0.267441860465116,"adult"
"Q754_1","affective","activity",41.9465678492437,0.1,0.511627906976744,"adult"
