Nationality,-3,-2,-1,0,1,2,3,total,avg
Canadian,0,0,0,5,5,12,8,30,1.766666667
New Zealand,0,0,1,4,9,6,10,30,1.666666667
Swedish,0,0,0,4,9,11,6,30,1.633333333
Australian,1,1,0,5,4,7,11,29,1.586206897
Icelandic,0,0,1,6,5,11,7,30,1.566666667
Swiss,0,1,2,6,3,10,8,30,1.433333333
Jamaican,0,0,1,7,7,8,7,30,1.433333333
Norwegian,0,1,1,6,5,13,4,30,1.333333333
Greenlandic,0,0,0,7,9,11,3,30,1.333333333
Finnish,0,0,2,5,9,9,5,30,1.333333333
Dutch,0,0,4,7,3,11,5,30,1.2
Brazilian,0,1,0,6,12,10,1,30,1.1
Danish,1,0,3,7,5,8,5,29,1.034482759
British,0,1,3,4,10,11,1,30,1
Samoan,0,1,2,11,3,10,3,30,0.933333333
Ecuadorean,0,0,1,11,9,8,1,30,0.9
Papua New Guinean,0,1,0,11,10,6,2,30,0.866666667
Puerto Rican,1,2,3,5,5,12,2,30,0.833333333
Portuguese,0,0,3,11,9,4,3,30,0.766666667
Costa Rican,0,0,3,11,6,8,1,29,0.75862069
Nepalese,0,1,2,13,5,3,5,29,0.75862069
Philippine,0,2,2,6,14,4,2,30,0.733333333
Mexican,1,1,4,3,14,4,3,30,0.733333333
Kenyan,0,2,3,8,9,4,4,30,0.733333333
Hispanic American,0,1,6,7,6,7,3,30,0.7
Dominican,0,1,3,10,8,6,2,30,0.7
Sri Lankan,0,0,1,15,8,5,1,30,0.666666667
Guatemalan,0,0,3,12,9,4,2,30,0.666666667
Greek,2,1,3,5,9,8,2,30,0.666666667
Panamanian,0,0,1,15,6,7,0,29,0.655172414
Italian,2,0,4,7,7,8,2,30,0.633333333
Indian,1,1,4,9,5,7,3,30,0.633333333
Latvian,0,0,3,13,7,4,2,29,0.620689655
Chilean,0,0,2,14,8,3,2,29,0.620689655
Irish,0,1,6,8,6,7,2,30,0.6
Belgian,1,2,3,8,6,8,2,30,0.6
Ethiopian,0,0,5,10,9,2,3,29,0.586206897
Cuban,0,2,4,6,11,4,2,29,0.586206897
Paraguayan,0,0,2,15,8,5,0,30,0.533333333
Nicaraguan,0,2,4,9,8,5,2,30,0.533333333
Estonian,0,0,3,15,6,5,1,30,0.533333333
Hungarian,0,1,6,9,7,5,2,30,0.5
Honduran,0,1,3,12,9,2,2,29,0.482758621
Belizean,1,0,3,13,5,6,1,29,0.482758621
Sierra Leonean,0,2,2,14,6,4,2,30,0.466666667
