Nationality,-3,-2,-1,0,1,2,3,total,avg
Japanese,0,0,0,0,3,9,17,29,2.482758621
Swedish,0,0,0,2,6,12,10,30,2
Chinese,0,0,0,4,3,12,11,30,2
Swiss,0,0,2,2,3,13,10,30,1.9
German,0,0,0,4,6,12,8,30,1.8
Dutch,0,0,0,4,8,11,7,30,1.7
Danish,0,0,0,3,8,15,4,30,1.666666667
Austrian,0,1,0,4,8,12,5,30,1.5
Korean,0,0,1,7,5,11,6,30,1.466666667
Canadian,0,0,1,5,7,13,4,30,1.466666667
New Zealand,0,0,0,6,10,9,5,30,1.433333333
Icelandic,0,0,0,3,13,12,2,30,1.433333333
British,0,0,1,3,11,11,3,29,1.413793103
Norwegian,0,1,0,3,10,14,2,30,1.4
Taiwanese,0,0,3,5,7,8,7,30,1.366666667
South Korean,0,1,0,7,8,9,5,30,1.3
Luxembourg,0,1,0,8,8,7,6,30,1.266666667
Vietnamese,0,1,1,8,7,9,4,30,1.133333333
Finnish,0,1,2,4,10,11,2,30,1.133333333
Singapore,0,0,4,3,11,10,2,30,1.1
Greenlandic,0,0,1,9,7,12,1,30,1.1
Australian,0,1,3,6,5,12,3,30,1.1
Israeli,2,1,0,4,12,7,4,30,1
Belgian,0,0,3,7,9,7,3,29,1
Armenian,0,0,2,8,13,3,4,30,0.966666667
North Korean,1,2,4,4,5,9,5,30,0.9
Hungarian,0,0,2,10,9,8,1,30,0.866666667
Russian,0,3,3,7,6,5,6,30,0.833333333
Saudi,0,1,3,8,9,5,3,29,0.793103448
Thai,0,1,3,8,11,5,2,30,0.733333333
White American,0,1,5,7,9,7,1,30,0.633333333
Saudi Arabian,0,1,2,11,10,5,1,30,0.633333333
Latvian,0,2,2,13,3,8,2,30,0.633333333
Moroccan,0,0,4,12,7,6,1,30,0.6
Indian,1,3,3,6,7,7,3,30,0.6
Romanian,0,2,3,11,7,4,3,30,0.566666667
Hispanic American,0,1,4,10,8,7,0,30,0.533333333
Philippine,0,3,4,8,6,7,2,30,0.533333333
American,3,1,3,5,9,6,3,30,0.533333333
Peruvian,0,0,4,11,10,3,1,29,0.517241379
Spanish,0,2,5,5,12,6,0,30,0.5
Portuguese,0,0,7,8,10,3,2,30,0.5
Polish,0,1,4,9,12,3,1,30,0.5
Egyptian,0,0,5,13,6,4,2,30,0.5
Czech,0,1,4,11,9,3,2,30,0.5
Bulgarian,0,1,2,12,10,4,0,29,0.482758621
Nepalese,0,2,4,12,5,4,3,30,0.466666667
Italian,0,0,7,10,7,4,2,30,0.466666667
Croatian,0,2,4,8,10,4,1,29,0.448275862
Lithuanian,0,2,1,16,6,5,0,30,0.366666667
Georgian,0,2,3,15,4,4,2,30,0.366666667
French,0,3,3,10,9,4,1,30,0.366666667
Paraguayan,0,1,2,17,5,3,1,29,0.344827586
South African,2,0,1,16,5,6,0,30,0.333333333
Jordanian,1,0,3,13,10,3,0,30,0.333333333
