Nationality,-3,-2,-1,0,1,2,3,total,avg
Brazilian,0,0,0,1,3,12,14,30,2.3
Italian,0,0,0,3,1,11,15,30,2.266666667
American,0,0,0,2,1,14,13,30,2.266666667
Puerto Rican,0,0,0,1,7,9,13,30,2.133333333
Greek,0,1,0,1,6,12,10,30,1.933333333
Australian,0,0,1,1,6,13,9,30,1.933333333
Mexican,0,0,1,0,6,18,5,30,1.866666667
Spanish,0,0,1,2,4,18,5,30,1.8
Colombian,0,1,0,3,7,9,10,30,1.766666667
Irish,0,1,0,3,7,9,9,29,1.724137931
Hispanic American,0,0,2,2,10,9,7,30,1.566666667
Costa Rican,0,0,0,3,12,10,5,30,1.566666667
Jamaican,0,1,1,3,6,13,6,30,1.566666667
Cuban,0,1,1,2,7,14,4,29,1.517241379
African American,0,0,2,4,7,11,6,30,1.5
Venezuelan,1,1,0,4,7,12,5,30,1.366666667
French,0,2,2,2,7,16,1,30,1.2
White American,0,0,2,5,13,6,4,30,1.166666667
Dominican,0,1,2,4,12,7,4,30,1.133333333
Argentine,0,1,2,3,15,6,3,30,1.066666667
Guatemalan,0,2,2,4,11,9,1,29,0.896551724
New Zealand,0,3,1,5,13,4,4,30,0.866666667
Chilean,0,2,2,4,15,4,3,30,0.866666667
Portuguese,0,2,1,8,10,7,2,30,0.833333333
Honduran,0,1,4,7,12,5,1,30,0.633333333
Peruvian,0,3,2,9,9,4,3,30,0.6
Haitian,0,5,3,2,10,9,1,30,0.6
Russian,2,2,3,6,7,8,2,30,0.533333333
Polish,1,2,6,7,3,9,2,30,0.466666667
Panamanian,1,2,3,9,9,3,3,30,0.466666667
Ecuadorean,1,2,4,6,10,6,1,30,0.466666667
Samoan,1,3,5,6,4,8,2,29,0.413793103
Canadian,2,1,6,7,3,7,3,29,0.413793103
Paraguayan,0,2,5,12,5,4,2,30,0.333333333
Nicaraguan,0,3,8,6,4,7,2,30,0.333333333
British,1,3,5,5,8,8,0,30,0.333333333
Belizean,1,1,5,10,9,4,0,30,0.233333333
Austrian,1,2,10,5,5,5,2,30,0.133333333
South African,0,1,9,9,10,1,0,30,0.033333333
Zimbabwean,0,4,7,7,8,2,1,29,0
Uruguayan,1,2,8,8,8,2,1,30,0
Turkish,2,5,1,11,6,4,1,30,0
Israeli,0,4,8,7,8,1,2,30,0
Indian,1,6,5,5,6,7,0,30,0
Czech,1,4,2,13,8,1,1,30,0
Ukrainian,1,5,5,7,7,5,0,30,-0.033333333
Egyptian,0,3,6,14,4,2,1,30,-0.033333333
Dutch,2,4,7,5,6,4,2,30,-0.033333333
Bolivian,0,3,10,5,10,1,1,30,-0.033333333
Serbian,0,7,5,6,7,5,0,30,-0.066666667
Moroccan,2,4,4,9,7,3,1,30,-0.066666667
Lebanese,1,4,8,5,5,6,0,29,-0.068965517
Swedish,0,7,9,3,4,5,2,30,-0.1
Philippine,2,6,4,3,11,4,0,30,-0.1
Armenian,0,3,7,13,4,3,0,30,-0.1
Kenyan,1,3,9,6,8,3,0,30,-0.133333333
Romanian,0,5,5,12,6,2,0,30,-0.166666667
Croatian,0,4,7,11,6,2,0,30,-0.166666667
Nigerian,1,5,3,10,9,1,0,29,-0.172413793
Somali,2,4,7,8,5,2,2,30,-0.2
Norwegian,2,6,6,6,3,6,1,30,-0.2
Cypriot,1,4,4,15,3,3,0,30,-0.2
Zambian,0,3,11,9,5,1,1,30,-0.233333333
Moldovan,1,3,9,9,6,2,0,30,-0.266666667
Namibian,0,4,10,6,4,3,0,27,-0.296296296
Belgian,0,7,6,8,7,2,0,30,-0.3
Belarusian,0,3,9,13,4,1,0,30,-0.3
Luxembourg,1,5,9,6,5,1,2,29,-0.310344828
German,3,9,2,5,4,6,1,30,-0.333333333
Danish,2,5,6,7,8,2,0,30,-0.333333333
Bulgarian,0,5,8,12,3,1,1,30,-0.333333333
Libyan,3,2,7,10,4,3,0,29,-0.344827586
Slovak,2,3,10,7,6,2,0,30,-0.4
Thai,2,8,5,4,8,3,0,30,-0.433333333
Macedonian,4,2,7,11,3,2,1,30,-0.433333333
Angolan,0,5,6,16,3,0,0,30,-0.433333333
Swiss,1,7,8,5,5,2,1,29,-0.448275862
Sierra Leonean,0,6,8,10,6,0,0,30,-0.466666667
Slovenian,1,5,7,12,4,1,0,30,-0.466666667
Iranian,2,5,8,8,4,3,0,30,-0.466666667
Indonesian,3,4,7,8,6,2,0,30,-0.466666667
Algerian,0,5,8,13,4,0,0,30,-0.466666667
Yugoslav,1,6,9,6,7,1,0,30,-0.5
Malaysian,1,4,14,4,4,3,0,30,-0.5
Ethiopian,2,6,4,12,5,1,0,30,-0.5
Estonian,1,6,8,10,2,3,0,30,-0.5
Congolese,0,4,10,14,1,1,0,30,-0.5
Batswana,0,8,6,11,3,2,0,30,-0.5
Azerbaijani,2,5,4,15,1,2,0,29,-0.517241379
Ugandan,0,8,6,11,4,1,0,30,-0.533333333
Lithuanian,2,4,10,7,6,1,0,30,-0.533333333
Latvian,3,4,6,12,3,2,0,30,-0.533333333
Hungarian,2,4,11,7,4,1,1,30,-0.533333333
Albanian,1,6,6,12,5,0,0,30,-0.533333333
Palestinian,1,7,8,8,4,2,0,30,-0.566666667
Mozambican,0,7,8,11,3,1,0,30,-0.566666667
Syrian,4,7,4,7,4,4,0,30,-0.6
Sudanese,0,7,8,12,3,0,0,30,-0.633333333
Cameroonian,2,3,9,14,2,0,0,30,-0.633333333
Uzbekistani,1,8,4,14,3,0,0,30,-0.666666667
Pakistani,1,8,8,8,3,2,0,30,-0.666666667
Kazakhstani,4,3,10,8,3,1,1,30,-0.666666667
Icelandic,5,4,10,3,4,3,1,30,-0.666666667
Rwandan,1,6,11,9,2,0,1,30,-0.7
Jordanian,2,5,10,7,2,2,0,28,-0.714285714
Sri Lankan,1,9,5,12,2,1,0,30,-0.733333333
Saudi Arabian,5,6,8,2,6,2,1,30,-0.733333333
Tajikistani,2,6,6,15,0,1,0,30,-0.733333333
Kuwaiti,3,8,6,7,4,1,1,30,-0.733333333
Greenlandic,2,7,9,7,3,2,0,30,-0.733333333
Ghanaian,3,6,7,9,4,1,0,30,-0.733333333
Georgian,2,5,6,17,0,0,0,30,-0.733333333
