Nationality,-3,-2,-1,0,1,2,3,total,avg
Pakistani,0,2,0,1,7,7,11,28,1.785714286
Iraqi,0,2,0,2,7,7,12,30,1.766666667
Palestinian,0,0,1,5,6,6,11,29,1.724137931
Iranian,0,1,1,2,8,8,10,30,1.7
Syrian,0,1,2,4,5,9,9,30,1.533333333
Afghan,1,1,1,4,5,7,11,30,1.533333333
Russian,1,0,1,5,7,8,8,30,1.433333333
Puerto Rican,1,0,4,4,3,9,9,30,1.366666667
Colombian,0,2,0,8,6,6,8,30,1.266666667
Libyan,0,0,3,8,7,4,8,30,1.2
Saudi Arabian,0,2,2,6,8,5,7,30,1.1
African American,0,2,2,8,6,6,6,30,1
Somali,1,1,0,8,9,7,4,30,1
Mexican,0,4,4,2,6,7,7,30,0.966666667
Kuwaiti,0,1,3,7,8,7,4,30,0.966666667
Saudi,0,3,2,5,9,6,5,30,0.933333333
Hispanic American,0,2,5,3,10,4,6,30,0.9
Ukrainian,0,0,4,7,9,8,2,30,0.9
Israeli,1,3,1,7,6,3,8,29,0.896551724
Cuban,0,1,2,7,11,5,3,29,0.896551724
Sudanese,0,1,2,9,11,2,5,30,0.866666667
Lebanese,0,0,6,7,6,9,2,30,0.8
Bosnian,1,0,2,11,6,7,3,30,0.8
North Korean,1,3,2,9,2,4,8,29,0.793103448
Italian,0,1,8,5,6,5,5,30,0.7
Serbian,0,2,3,10,5,8,2,30,0.666666667
Dominican,0,1,4,9,8,6,2,30,0.666666667
Irish,1,2,5,6,6,5,5,30,0.633333333
Rwandan,0,3,4,8,5,8,2,30,0.566666667
Yemeni,0,3,6,5,7,6,3,30,0.533333333
Romanian,0,1,5,9,7,6,1,29,0.517241379
Nigerian,0,0,8,7,7,5,2,29,0.517241379
Kazakhstani,1,1,3,14,2,6,3,30,0.5
Greek,2,4,3,2,9,7,3,30,0.5
Algerian,1,1,5,8,6,6,2,29,0.482758621
Ugandan,1,2,4,5,13,3,2,30,0.466666667
Egyptian,1,1,3,8,12,5,0,30,0.466666667
Sierra Leonean,0,1,5,11,8,3,2,30,0.433333333
Uzbekistani,1,2,3,12,4,5,3,30,0.433333333
Jordanian,1,0,4,13,6,4,2,30,0.433333333
Venezuelan,0,3,7,3,10,3,3,29,0.413793103
Brazilian,0,3,5,7,6,7,1,29,0.413793103
Turkish,1,3,4,8,5,7,2,30,0.4
Nicaraguan,0,1,5,12,8,2,2,30,0.366666667
German,2,4,4,5,5,7,3,30,0.333333333
Congolese,1,0,4,13,9,1,2,30,0.333333333
Bolivian,1,2,6,10,2,6,3,30,0.333333333
Azerbaijani,1,0,7,12,3,4,3,30,0.333333333
Armenian,1,1,7,10,3,5,3,30,0.333333333
Senegalese,0,2,3,14,6,5,0,30,0.3
Albanian,1,1,5,10,8,2,2,29,0.275862069
Spanish,1,2,5,10,6,4,2,30,0.266666667
Ecuadorean,1,2,6,9,3,4,3,28,0.25
Yugoslav,0,1,5,14,8,1,1,30,0.2
Kyrgyzstani,0,2,5,13,6,3,1,30,0.2
Georgian,0,1,6,13,7,2,1,30,0.2
Bangladeshi,1,2,7,8,6,4,2,30,0.2
Tajikistani,2,2,2,14,2,6,1,29,0.172413793
Qatari,0,2,6,13,4,4,1,30,0.166666667
American,1,4,4,8,7,5,1,30,0.166666667
Slovak,0,4,2,16,4,2,2,30,0.133333333
Belarusian,1,0,7,13,5,3,1,30,0.133333333
Batswana,3,2,4,8,8,2,3,30,0.133333333
Moroccan,0,3,8,6,9,4,0,30,0.1
Haitian,3,3,6,5,6,4,3,30,0.066666667
Croatian,1,1,5,14,6,3,0,30,0.066666667
Slovenian,0,2,5,16,3,2,1,29,0.034482759
Angolan,2,1,4,14,5,1,2,29,0.034482759
South African,1,2,6,13,3,4,1,30,0.033333333
Czech,1,3,5,13,2,5,1,30,0.033333333
Cypriot,1,1,5,17,3,1,2,30,0.033333333
Cambodian,2,4,3,11,5,2,3,30,0.033333333
Zambian,0,4,4,13,5,2,1,29,0
Sri Lankan,0,3,8,13,1,3,2,30,-0.033333333
Guatemalan,0,4,8,8,5,5,0,30,-0.033333333
Portuguese,1,5,7,6,5,5,1,30,-0.066666667
Vietnamese,1,3,6,10,6,2,1,29,-0.068965517
