Nationality,-3,-2,-1,0,1,2,3,total,avg
Australian,1,0,0,2,7,11,10,31,1.806451613
Azerbaijani,0,0,2,2,5,14,8,31,1.774193548
Swedish,1,0,0,4,6,9,11,31,1.741935484
Brazilian,0,0,2,2,5,15,7,31,1.741935484
New Zealand,0,1,0,3,8,11,8,31,1.677419355
White American,0,0,3,3,6,13,6,31,1.516129032
American,0,1,3,4,5,9,9,31,1.451612903
Swiss,0,2,0,6,5,11,7,31,1.419354839
Jamaican,1,1,0,6,6,9,8,31,1.387096774
Italian,0,0,3,3,9,11,5,31,1.387096774
Danish,0,2,1,4,4,14,4,29,1.344827586
French,0,1,3,4,7,7,8,30,1.333333333
Norwegian,0,3,3,2,4,11,7,30,1.266666667
Puerto Rican,0,1,3,5,5,12,5,31,1.258064516
Greek,0,1,5,2,7,6,8,29,1.24137931
Canadian,0,3,1,3,9,9,6,31,1.225806452
Dutch,1,3,0,4,7,9,7,31,1.193548387
Austrian,0,1,2,6,8,9,5,31,1.193548387
Belgian,0,1,2,4,12,8,4,31,1.161290323
German,2,1,3,4,4,9,7,30,1.066666667
Venezuelan,0,1,1,5,15,5,3,30,1.033333333
Spanish,2,0,2,5,10,6,6,31,1.032258065
Portuguese,0,1,3,7,7,9,4,31,1.032258065
Thai,0,5,3,1,7,8,7,31,1
Mongolian,0,0,0,0,1,0,0,1,1
Mexican,0,0,0,0,1,0,0,1,1
Finnish,2,1,2,5,7,6,7,30,1
Irish,0,2,1,10,5,9,4,31,0.967741935
Colombian,1,2,3,6,8,7,4,31,0.774193548
Singapore,0,3,3,8,5,9,3,31,0.741935484
Costa Rican,0,3,5,6,5,8,4,31,0.709677419
Taiwanese,0,4,2,10,2,9,4,31,0.709677419
Dominican,0,1,7,6,7,7,3,31,0.677419355
Icelandic,3,2,1,8,5,7,5,31,0.64516129
Hispanic American,1,3,3,6,8,7,3,31,0.612903226
Japanese,1,3,4,6,7,5,5,31,0.612903226
Chilean,0,0,4,12,8,6,1,31,0.612903226
Luxembourg,2,3,1,7,6,8,3,30,0.6
African American,2,2,3,6,8,8,2,31,0.548387097
Philippine,2,4,3,4,7,7,4,31,0.516129032
Belizean,2,1,2,11,7,5,3,31,0.516129032
Polish,1,2,6,6,7,7,2,31,0.451612903
Hungarian,2,0,4,10,8,5,2,31,0.451612903
Chinese,1,4,6,4,4,10,2,31,0.419354839
Indian,2,3,4,5,7,6,3,30,0.4
Panamanian,1,2,5,6,11,5,1,31,0.387096774
Argentine,0,4,4,6,12,4,1,31,0.35483871
Guatemalan,0,4,5,7,8,6,1,31,0.322580645
Czech,2,4,2,7,8,6,2,31,0.322580645
South Korean,3,3,2,7,8,6,2,31,0.290322581
British,1,5,6,4,4,9,2,31,0.290322581
Samoan,1,3,7,6,5,8,1,31,0.258064516
Korean,2,3,6,5,7,6,2,31,0.225806452
Ecuadorean,1,4,4,7,9,5,1,31,0.225806452
Cuban,1,4,3,12,4,4,3,31,0.225806452
Congolese,1,4,3,11,5,5,2,31,0.225806452
Peruvian,1,5,2,8,10,4,1,31,0.193548387
Bulgarian,1,1,7,9,9,3,1,31,0.193548387
Ukrainian,1,1,9,9,6,2,3,31,0.161290323
Uruguayan,1,4,5,9,6,4,2,31,0.129032258
Paraguayan,2,5,3,6,8,6,1,31,0.129032258
Haitian,1,4,8,5,6,4,3,31,0.129032258
Bolivian,2,3,4,8,10,2,2,31,0.129032258
Lithuanian,2,4,3,9,6,4,2,30,0.1
South African,1,5,4,10,4,5,2,31,0.096774194
Ugandan,2,6,2,7,7,5,2,31,0.096774194
Romanian,1,5,7,6,6,2,4,31,0.064516129
Kenyan,1,4,8,7,3,6,2,31,0.064516129
Moldovan,0,0,0,1,0,0,0,1,0
Malaysian,0,0,0,1,0,0,0,1,0
Vietnamese,2,3,7,7,7,4,1,31,-0.032258065
Greenlandic,1,5,4,10,7,3,1,31,-0.032258065
Cambodian,2,4,6,9,4,4,2,31,-0.064516129
Papua New Guinean,1,9,1,9,4,6,1,31,-0.096774194
Honduran,1,6,4,8,8,2,1,30,-0.133333333
Georgian,3,1,8,10,3,3,2,30,-0.133333333
Slovak,2,5,6,8,4,5,1,31,-0.161290323
Turkish,3,5,5,8,5,2,3,31,-0.193548387
Russian,0,8,6,7,5,4,1,31,-0.193548387
Senegalese,2,4,5,11,7,1,1,31,-0.225806452
Macedonian,3,5,4,10,3,5,1,31,-0.225806452
Israeli,3,6,6,4,6,4,2,31,-0.225806452
Sri Lankan,2,4,9,6,6,3,1,31,-0.258064516
Armenian,1,7,8,6,3,5,1,31,-0.290322581
Egyptian,2,4,9,6,5,3,1,30,-0.3
Latvian,4,3,5,11,4,3,1,31,-0.322580645
Belarusian,3,4,3,15,4,1,1,31,-0.35483871
Burmese,4,3,7,8,3,4,1,30,-0.366666667
Slovenian,2,9,3,8,4,4,1,31,-0.387096774
Croatian,2,6,7,7,6,2,1,31,-0.387096774
Algerian,3,6,8,4,5,3,2,31,-0.387096774
Estonian,2,8,5,7,4,1,3,30,-0.4
Cameroonian,2,5,9,7,2,4,1,30,-0.4
Zimbabwean,1,10,5,7,2,5,1,31,-0.419354839
Tajikistani,3,6,5,9,5,1,2,31,-0.419354839
Cypriot,2,7,3,13,3,2,1,31,-0.419354839
Angolan,2,6,6,10,4,2,1,31,-0.419354839
Nigerian,4,6,6,6,4,3,2,31,-0.451612903
Ghanaian,2,6,7,8,4,2,1,30,-0.466666667
Albanian,4,6,7,4,6,2,2,31,-0.483870968
Indonesian,4,6,6,6,6,1,2,31,-0.516129032
Uzbekistani,5,4,5,10,5,0,2,31,-0.548387097
Sierra Leonean,1,7,11,5,5,1,1,31,-0.580645161
Yugoslav,5,6,4,8,4,3,1,31,-0.580645161
Serbian,5,5,6,7,4,3,1,31,-0.580645161
Bosnian,5,6,5,5,8,0,2,31,-0.580645161
Ethiopian,4,8,5,5,3,3,2,30,-0.6
Lebanese,4,5,7,9,3,2,1,31,-0.612903226
Zambian,2,11,3,10,1,2,2,31,-0.64516129
Rwandan,3,6,9,7,4,1,1,31,-0.677419355
Bangladeshi,2,7,9,9,2,0,1,30,-0.8
Somali,6,10,2,7,0,4,2,31,-0.838709677
Libyan,7,3,8,7,4,1,1,31,-0.838709677
Qatari,6,10,2,6,5,1,1,31,-0.967741935
Nicaraguan,0,0,1,0,0,0,0,1,-1
Nepalese,0,0,1,0,0,0,0,1,-1
Mozambican,0,0,1,0,0,0,0,1,-1
Kyrgyzstani,6,7,5,9,3,0,1,31,-1
Jordanian,7,5,7,8,2,1,1,31,-1
Sudanese,5,9,6,6,0,0,3,29,-1.034482759
Batswana,5,8,8,6,3,0,1,31,-1.064516129
Kazakhstani,5,9,8,5,2,1,1,31,-1.096774194
Syrian,6,8,9,4,1,2,1,31,-1.129032258
Afghan,11,5,3,7,0,4,1,31,-1.129032258
Kuwaiti,7,9,6,5,1,1,1,30,-1.3
Yemeni,10,7,5,5,2,1,1,31,-1.35483871
Saudi,10,8,6,2,1,3,1,31,-1.35483871
Iraqi,9,9,4,5,2,1,1,31,-1.35483871
Saudi Arabian,12,6,4,4,2,2,1,31,-1.387096774
Pakistani,10,9,4,3,3,1,1,31,-1.419354839
Iranian,10,6,5,4,3,1,0,29,-1.448275862
Palestinian,12,7,4,3,3,1,1,31,-1.483870968
North Korean,16,4,3,3,1,3,1,31,-1.580645161
Namibian,0,1,0,0,0,0,0,1,-2
Moroccan,1,0,0,0,0,0,0,1,-3
,328,537,564,823,673,619,345,3889,
