Profession,-3,-2,-1,0,1,2,3,Total,Avg
priest,1,0,0,3,3,6,12,25,1.92
tour guide,0,1,0,3,4,9,10,27,1.852
speech therapist,1,0,0,2,6,5,9,23,1.739
rabbi,0,0,1,5,5,9,8,28,1.643
travel agent,0,1,0,3,5,6,7,22,1.636
house decorator,0,0,0,5,8,9,6,28,1.571
baker,0,0,1,5,6,8,7,27,1.556
cheerleader,0,0,3,2,6,10,5,26,1.462
meteorologist,1,0,1,2,5,10,4,23,1.435
florist,0,1,1,4,4,13,3,26,1.385
violinist,0,0,2,2,9,4,5,22,1.364
surfer,0,0,3,3,8,7,5,26,1.308
au pair,0,1,1,6,4,8,5,25,1.28
designer,0,0,2,5,6,8,4,25,1.28
psychologist,1,1,3,2,6,6,8,27,1.259
physiotherapist,0,0,1,5,6,8,2,22,1.227
professional dancer,0,0,3,5,8,4,6,26,1.192
sociologist,1,0,1,3,9,3,5,22,1.182
cashier,0,1,2,3,5,8,3,22,1.182
dietician,0,1,2,5,8,6,5,27,1.148
cosmetician,1,0,1,4,7,5,4,22,1.136
animal trainer,1,1,2,4,6,8,5,27,1.111
interpreter,2,1,0,4,6,10,4,27,1.111
pianist,0,1,2,7,7,5,6,28,1.107
musician,0,2,3,2,5,4,6,22,1.091
weatherman,1,1,1,5,4,6,5,23,1.087
nutritionist,1,2,1,3,10,4,6,27,1.037
art dealer,2,0,2,6,6,6,6,28,1
chiropractor,0,0,3,5,9,5,3,25,1
guitarist,0,1,2,4,12,3,4,26,1
doctor,1,3,0,2,8,3,6,23,1
juggler,0,1,3,5,8,3,5,25,0.96
secretary,0,0,1,10,7,6,2,26,0.923
entertainer,0,2,2,5,5,4,4,22,0.864
illusionist,1,0,3,5,7,3,4,23,0.826
diplomat,0,2,2,5,4,7,2,22,0.818
grocer,1,2,2,3,6,4,4,22,0.773
dry cleaner,1,0,3,8,6,4,4,26,0.769
hotel manager,0,2,5,3,6,5,4,25,0.76
comedian,2,2,1,7,6,2,7,27,0.741
ambassador,0,5,1,6,6,5,5,28,0.714
professor,0,1,3,9,4,6,2,25,0.68
performer,0,3,3,6,4,3,5,24,0.667
teller,3,0,1,7,5,8,2,26,0.654
merchant,1,3,2,4,7,3,4,24,0.583
runner,0,2,3,9,2,3,4,23,0.565
veteran,0,0,6,8,8,4,1,27,0.481
movie star,1,1,5,5,5,0,5,22,0.455
cyclist,0,2,4,11,5,1,4,27,0.407
astronaut,4,0,0,7,7,1,4,23,0.391
archaeologist,1,1,2,11,8,0,3,26,0.385
anthropologist,1,3,0,11,3,4,2,24,0.333
realter,2,2,2,8,5,4,2,25,0.28
TOTAL,217,222,322,595,455,362,306,2479,0.274
tennis coach,1,3,4,6,5,1,4,24,0.25
drummer,0,4,4,5,6,3,2,24,0.25
computer expert,1,1,6,6,4,0,4,22,0.227
scientist,0,3,4,9,4,2,2,24,0.167
entrepreneur,0,3,5,7,6,3,1,25,0.16
recruiter,1,1,8,8,5,4,1,28,0.107
accountant,0,3,5,8,7,1,1,25,0.04
chemist,2,1,4,12,4,1,2,26,0
mathematician,1,1,3,11,4,2,0,22,0
statistician,1,2,5,13,2,2,2,27,0
rock star,1,3,9,5,6,0,3,27,-0.111
prime minister,1,5,7,4,5,3,2,27,-0.111
banker,2,2,5,10,2,2,2,25,-0.12
butcher,2,1,6,9,4,3,0,25,-0.16
juror,2,1,6,13,4,1,1,28,-0.179
manager,2,1,7,7,2,0,3,22,-0.182
comptroller,0,2,6,16,2,0,1,27,-0.185
financial analyst,1,3,6,7,1,3,1,22,-0.227
bank manager,3,2,7,6,1,5,1,25,-0.24
businessman,1,5,3,8,2,2,1,22,-0.318
physicist,3,2,6,6,5,0,2,24,-0.333
activist,3,8,2,2,4,4,2,25,-0.36
economist,3,2,5,9,1,1,2,23,-0.391
satirist,4,5,4,7,5,0,3,28,-0.429
ceo,1,4,5,8,2,2,0,22,-0.455
naval officer,4,2,8,3,2,2,2,23,-0.522
stockbroker,4,3,8,8,1,3,1,28,-0.571
market analyst,3,2,9,7,2,2,0,25,-0.64
football coach,7,4,5,3,2,3,2,26,-0.769
private investigator,4,8,2,5,1,2,2,24,-0.792
judge,11,8,8,18,4,4,0,53,-0.849
probation officer,6,1,6,4,3,2,0,22,-0.864
congressman,6,3,4,5,4,0,1,23,-0.913
senator,10,9,3,21,3,1,0,47,-0.979
investment banker,3,10,5,3,2,3,0,26,-1
lieutenant,3,8,8,4,4,0,0,27,-1.074
defense lawyer,9,3,5,3,3,2,1,26,-1.077
attorney,7,7,2,5,2,1,0,24,-1.375
sniper,9,5,2,8,0,1,0,25,-1.48
sergeant,19,6,5,11,1,3,0,45,-1.489
politician,12,4,4,3,2,1,0,26,-1.692
lawyer,9,8,2,4,0,1,0,24,-1.792
proscecutor,9,6,2,4,1,0,0,22,-1.818
drug dealer,14,4,4,2,0,0,1,25,-2.04
