Profession,-3,-2,-1,0,1,2,3,Total,Avg
naval officer,0,0,1,1,0,7,17,26,2.462
judge,0,1,1,2,2,19,27,52,2.269
lieutenant,0,0,0,1,4,8,13,26,2.269
doctor,0,0,0,2,1,10,10,23,2.217
physicist,0,0,0,3,2,6,12,23,2.174
sergeant,0,1,1,5,4,14,29,54,2.148
investment banker,0,0,1,0,2,14,8,25,2.12
scientist,0,0,0,4,4,5,14,27,2.074
defense lawyer,0,0,1,2,3,10,12,28,2.071
chemist,0,0,1,2,4,6,12,25,2.04
statistician,0,0,1,3,4,6,14,28,2.036
mathematician,0,0,1,2,3,12,10,28,2
astronaut,0,0,0,4,2,7,10,23,2
accountant,0,0,0,4,3,11,10,28,1.964
bank manager,0,0,0,4,2,13,8,27,1.926
prime minister,1,0,0,3,5,6,13,28,1.893
private investigator,0,0,0,3,5,7,8,23,1.87
banker,0,0,1,2,3,15,6,27,1.852
sniper,1,1,1,3,3,3,16,28,1.821
secretary,0,0,0,3,6,11,7,27,1.815
financial analyst,0,0,2,1,5,11,8,27,1.815
professional dancer,0,0,3,3,4,1,14,25,1.8
physiotherapist,0,0,0,5,3,13,7,28,1.786
tennis coach,0,0,0,5,4,5,9,23,1.783
comptroller,0,0,2,3,5,7,10,27,1.741
recruiter,0,0,0,3,9,7,8,27,1.741
market analyst,0,0,2,4,3,10,9,28,1.714
priest,0,0,2,1,9,6,9,27,1.704
attorney,1,0,0,2,4,10,6,23,1.696
speech therapist,0,0,0,3,8,9,6,26,1.692
professor,0,1,0,3,6,9,7,26,1.654
lawyer,0,1,0,5,6,7,9,28,1.607
ambassador,0,2,0,3,5,10,8,28,1.607
diplomat,0,0,1,7,5,4,11,28,1.607
proscecutor,0,0,3,1,7,10,7,28,1.607
veteran,0,1,1,4,5,7,9,27,1.593
economist,0,0,0,5,8,6,7,26,1.577
violinist,0,1,1,4,5,9,8,28,1.571
football coach,0,0,3,4,2,8,8,25,1.56
animal trainer,0,1,2,2,5,10,7,27,1.556
computer expert,1,0,1,5,4,8,9,28,1.536
dietician,1,1,0,3,6,8,8,27,1.519
archaeologist,0,0,1,5,8,7,7,28,1.5
hotel manager,0,0,1,2,12,7,5,27,1.481
ceo,1,1,2,2,5,8,9,28,1.464
psychologist,0,1,2,1,10,8,6,28,1.429
nutritionist,0,0,1,3,11,9,4,28,1.429
teller,1,0,0,3,9,7,5,25,1.4
manager,0,0,1,6,8,7,6,28,1.393
stockbroker,0,2,1,5,4,8,8,28,1.393
probation officer,0,1,1,4,9,6,7,28,1.393
businessman,0,0,1,7,6,8,6,28,1.393
sociologist,1,0,1,0,13,10,3,28,1.357
pianist,0,1,2,3,7,10,5,28,1.357
rabbi,0,1,2,4,7,9,5,28,1.286
juror,0,0,2,4,11,6,5,28,1.286
tour guide,0,2,1,5,4,12,4,28,1.25
TOTAL,63,125,177,400,554,672,683,2674,1.246
chiropractor,0,2,2,4,6,6,7,27,1.222
entrepreneur,1,1,4,3,3,8,8,28,1.214
cashier,0,1,3,4,8,6,6,28,1.179
anthropologist,2,0,0,5,5,5,6,23,1.174
au pair,0,2,3,4,6,7,6,28,1.107
house decorator,0,1,3,4,8,8,4,28,1.107
interpreter,0,0,2,7,9,6,4,28,1.107
senator,2,2,8,7,11,11,15,56,1.071
realter,0,1,2,5,9,7,3,27,1.037
baker,0,1,2,8,7,7,3,28,0.929
runner,1,2,3,3,4,9,4,26,0.923
activist,0,2,2,6,8,5,4,27,0.889
merchant,1,0,1,7,7,4,3,23,0.87
designer,0,3,2,6,7,5,5,28,0.857
dry cleaner,0,0,5,7,6,5,4,27,0.852
florist,1,0,1,8,10,4,3,27,0.852
travel agent,1,1,5,3,6,9,3,28,0.821
art dealer,2,0,2,6,9,7,2,28,0.75
juggler,1,2,1,7,9,2,5,27,0.741
weatherman,0,3,4,4,7,3,5,26,0.692
meteorologist,0,3,4,3,9,2,5,26,0.692
cosmetician,1,1,4,8,6,5,3,28,0.571
comedian,0,5,2,6,6,6,3,28,0.536
cyclist,0,3,3,8,7,4,2,27,0.444
butcher,1,2,4,8,5,6,2,28,0.429
congressman,3,3,3,4,2,6,5,26,0.423
illusionist,0,5,2,6,7,2,4,26,0.423
grocer,2,1,3,5,11,2,2,26,0.385
musician,1,5,5,3,5,4,5,28,0.357
performer,2,3,3,4,3,6,2,23,0.261
entertainer,0,8,2,5,8,2,3,28,0.107
cheerleader,3,4,3,3,7,2,3,25,0
guitarist,2,4,4,6,4,2,3,25,-0.04
movie star,3,6,3,5,4,4,3,28,-0.107
surfer,3,3,5,6,3,2,3,25,-0.16
politician,4,3,4,4,6,1,3,25,-0.2
drummer,4,3,3,6,3,1,3,23,-0.304
satirist,1,5,5,11,4,2,0,28,-0.357
rock star,5,5,5,5,4,1,2,27,-0.667
drug dealer,8,9,3,3,1,1,2,27,-1.333
