Profession,-3,-2,-1,0,1,2,3,Total,Avg
comedian,0,0,0,0,0,6,19,25,2.76
rock star,0,0,1,0,2,4,19,26,2.538
tour guide,0,0,0,0,2,8,16,26,2.538
activist,0,0,0,2,2,2,18,24,2.5
cheerleader,0,1,1,1,2,2,19,26,2.308
performer,0,0,2,1,3,5,14,25,2.12
entertainer,0,0,1,1,3,9,10,24,2.083
movie star,0,0,0,4,4,5,12,25,2
football coach,0,1,1,1,3,9,10,25,1.92
politician,1,0,1,0,6,7,10,25,1.84
travel agent,0,2,0,1,7,8,10,28,1.75
professional dancer,1,0,1,3,3,8,10,26,1.731
recruiter,1,0,0,2,8,6,8,25,1.64
drummer,0,1,1,3,5,6,9,25,1.64
house decorator,0,2,1,1,3,12,6,25,1.6
businessman,1,0,1,4,7,5,10,28,1.536
musician,0,1,0,5,4,9,6,25,1.52
entrepreneur,1,0,1,3,7,6,8,26,1.5
designer,0,1,1,3,8,10,3,26,1.308
weatherman,0,1,2,4,4,8,5,24,1.292
congressman,0,1,3,1,8,6,5,24,1.25
sergeant,0,1,3,10,17,8,10,49,1.184
satirist,0,3,2,6,0,6,8,25,1.12
realter,2,1,1,0,8,9,3,24,1.083
guitarist,1,1,4,3,4,6,7,26,1.077
illusionist,2,1,3,2,4,4,8,24,1.042
art dealer,1,2,1,3,6,8,4,25,1.04
ambassador,1,4,0,3,3,8,6,25,1.04
speech therapist,1,1,2,3,6,8,3,24,1
tennis coach,0,3,1,4,6,8,3,25,0.96
merchant,1,0,1,5,10,7,1,25,0.92
lawyer,1,2,2,3,7,8,3,26,0.885
senator,2,1,7,7,17,9,8,51,0.863
ceo,3,2,1,4,4,8,6,28,0.857
cosmetician,1,1,3,5,4,8,3,25,0.84
manager,1,1,2,5,8,6,2,25,0.76
juggler,0,1,4,7,5,3,4,24,0.708
animal trainer,1,2,0,8,9,5,2,27,0.667
defense lawyer,2,1,3,5,5,7,3,26,0.654
surfer,1,2,4,4,8,2,5,26,0.615
professor,2,2,3,3,3,9,2,24,0.583
lieutenant,1,1,5,4,10,3,3,27,0.556
hotel manager,2,0,3,6,7,4,2,24,0.5
meteorologist,1,2,2,8,4,4,3,24,0.5
grocer,0,1,4,8,6,4,1,24,0.458
au pair,1,1,5,5,8,5,1,26,0.423
cashier,3,0,2,10,8,1,4,28,0.393
TOTAL,221,282,314,419,494,441,381,2552,0.383
proscecutor,3,3,5,2,5,5,5,28,0.357
bank manager,1,2,7,4,4,6,2,26,0.308
prime minister,3,3,2,3,7,6,2,26,0.308
florist,1,2,5,7,5,6,1,27,0.296
diplomat,4,4,0,2,10,6,2,28,0.286
attorney,1,2,6,4,5,6,1,25,0.28
baker,0,3,3,9,7,3,1,26,0.269
stockbroker,2,6,0,3,8,2,4,25,0.24
rabbi,2,3,3,5,7,2,3,25,0.2
banker,3,4,2,2,6,6,1,24,0.083
naval officer,2,3,2,7,5,4,1,24,0.083
doctor,3,1,5,4,7,4,1,25,0.08
interpreter,2,2,5,6,9,2,0,26,-0.077
sociologist,1,3,6,6,5,2,1,24,-0.125
cyclist,2,4,3,5,6,4,0,24,-0.125
secretary,2,4,3,8,8,1,1,27,-0.148
runner,4,4,2,3,6,3,2,24,-0.167
dietician,2,1,8,8,5,3,0,27,-0.185
violinist,1,5,7,3,5,2,2,25,-0.2
market analyst,2,6,3,8,1,5,1,26,-0.269
probation officer,3,6,6,1,7,3,2,28,-0.286
butcher,2,3,6,8,4,3,0,26,-0.308
nutritionist,2,4,3,11,4,1,1,26,-0.308
veteran,2,2,8,8,6,1,0,27,-0.37
chiropractor,2,3,5,7,6,1,0,24,-0.375
teller,2,4,5,7,7,1,0,26,-0.385
astronaut,2,4,8,3,5,2,1,25,-0.4
priest,4,4,5,3,3,3,2,24,-0.417
investment banker,3,5,5,4,6,2,1,26,-0.423
pianist,5,6,2,3,4,2,3,25,-0.48
physiotherapist,7,1,2,9,7,2,0,28,-0.5
drug dealer,5,4,3,2,8,2,0,24,-0.583
economist,3,7,3,5,1,4,1,24,-0.583
judge,11,10,5,13,5,8,1,53,-0.642
financial analyst,5,8,3,5,2,4,1,28,-0.75
juror,3,3,8,9,1,0,1,25,-0.76
psychologist,3,3,11,5,3,0,1,26,-0.769
scientist,6,5,5,1,2,5,0,24,-0.875
comptroller,3,8,3,10,2,1,0,27,-0.889
anthropologist,4,6,5,6,3,0,1,25,-0.92
archaeologist,6,4,7,4,2,3,0,26,-0.962
dry cleaner,4,6,6,9,1,1,0,27,-1
accountant,6,6,6,3,2,2,1,26,-1.038
computer expert,4,10,5,0,3,2,1,25,-1.08
private investigator,4,8,7,1,2,3,0,25,-1.08
physicist,5,9,4,3,1,2,0,24,-1.333
sniper,11,3,5,3,2,2,0,26,-1.462
statistician,8,9,2,3,3,1,0,26,-1.5
mathematician,10,10,2,2,2,2,0,28,-1.643
chemist,9,8,6,1,1,1,0,26,-1.769
