Profession,-3,-2,-1,0,1,2,3,Total,Avg
rock star,0,0,3,3,7,7,6,26,1.385
drug dealer,2,1,1,3,5,8,9,29,1.345
activist,1,2,3,2,7,7,7,29,1.103
football coach,3,1,0,6,6,5,8,29,1
movie star,0,2,4,2,6,5,4,23,0.87
market analyst,1,1,7,4,8,4,4,29,0.552
defense lawyer,4,1,2,5,5,7,4,28,0.536
senator,1,6,8,10,14,8,7,54,0.519
drummer,3,3,0,5,9,4,4,28,0.5
stockbroker,1,3,6,5,3,4,5,27,0.407
attorney,2,4,1,5,7,5,3,27,0.407
congressman,1,2,5,7,5,1,5,26,0.385
lawyer,2,3,4,4,9,4,3,29,0.345
sergeant,2,12,7,5,10,2,13,51,0.314
cheerleader,2,1,6,6,7,6,1,29,0.276
performer,2,6,3,2,6,5,4,28,0.25
guitarist,2,1,5,9,5,6,1,29,0.241
probation officer,1,1,9,4,5,3,3,26,0.231
businessman,3,2,2,6,6,6,1,26,0.231
ceo,5,1,4,4,4,4,5,27,0.222
merchant,3,3,4,7,2,4,5,28,0.214
politician,2,4,5,4,7,3,4,29,0.207
musician,5,2,1,3,5,7,2,25,0.2
investment banker,3,5,5,3,1,5,6,28,0.179
proscecutor,5,1,2,7,3,7,2,27,0.148
entertainer,2,5,4,0,8,3,3,25,0.12
naval officer,2,5,5,3,2,5,4,26,0.115
lieutenant,2,4,4,4,5,6,1,26,0.077
veteran,3,3,4,5,4,5,2,26,0.038
entrepreneur,1,7,5,5,1,5,4,28,0.036
bank manager,1,7,4,4,7,3,3,29,0.034
manager,2,5,3,4,6,2,3,25,0
recruiter,1,4,7,5,3,6,1,27,0
tennis coach,4,2,5,5,4,4,3,27,0
prime minister,5,3,5,1,6,4,4,28,0
professional dancer,3,3,6,5,6,5,1,29,-0.069
cosmetician,2,3,5,8,1,5,1,25,-0.12
satirist,1,3,4,13,1,4,0,26,-0.154
grocer,1,5,4,8,3,3,1,25,-0.2
financial analyst,1,4,7,7,5,2,1,27,-0.222
TOTAL,350,456,529,475,401,279,233,2723,-0.306
dry cleaner,1,4,9,4,6,0,2,26,-0.308
illusionist,3,4,6,5,3,3,2,26,-0.308
economist,2,4,6,5,6,0,2,25,-0.32
runner,2,4,4,7,7,0,1,25,-0.32
private investigator,5,4,5,5,4,0,5,28,-0.321
comedian,2,7,5,3,4,3,2,26,-0.346
hotel manager,3,3,8,7,5,2,1,29,-0.379
realter,1,5,10,4,7,1,1,29,-0.379
comptroller,2,5,6,6,4,1,2,26,-0.385
juror,4,5,3,9,1,2,3,27,-0.407
butcher,2,5,6,9,4,3,0,29,-0.414
violinist,4,4,5,3,3,3,2,24,-0.417
sniper,5,6,6,3,2,3,4,29,-0.448
animal trainer,4,4,6,3,5,3,1,26,-0.462
ambassador,4,4,8,2,5,2,2,27,-0.481
cashier,2,4,5,12,3,1,0,27,-0.519
weatherman,4,3,7,6,2,3,1,26,-0.538
juggler,5,4,5,9,2,2,2,29,-0.552
chiropractor,4,3,8,9,2,1,2,29,-0.552
florist,0,8,6,8,2,1,1,26,-0.577
meteorologist,3,6,6,5,2,2,2,26,-0.577
diplomat,4,7,3,6,4,0,3,27,-0.593
computer expert,4,3,7,7,1,0,3,25,-0.6
cyclist,6,4,3,5,7,1,1,27,-0.63
statistician,4,4,11,2,3,2,2,28,-0.643
travel agent,1,8,7,6,2,3,0,27,-0.667
mathematician,2,6,10,3,3,2,1,27,-0.667
doctor,8,7,2,2,1,4,4,28,-0.679
astronaut,6,8,2,3,4,2,3,28,-0.679
designer,4,4,7,8,5,1,0,29,-0.69
baker,4,6,6,7,1,3,1,28,-0.714
art dealer,6,4,5,5,4,2,1,27,-0.741
secretary,2,10,6,2,2,3,1,26,-0.808
physiotherapist,3,7,8,4,3,0,2,27,-0.815
house decorator,5,5,5,7,4,0,1,27,-0.852
interpreter,5,6,6,7,1,1,2,28,-0.857
au pair,4,9,2,8,5,1,0,29,-0.862
banker,5,5,10,2,4,3,0,29,-0.862
teller,3,5,13,4,1,3,0,29,-0.862
dietician,2,6,10,4,3,1,0,26,-0.885
rabbi,7,5,4,6,1,2,2,27,-0.889
scientist,5,7,8,3,2,3,1,29,-0.897
sociologist,2,8,6,5,3,1,0,25,-0.92
archaeologist,7,3,8,4,4,1,1,28,-0.929
accountant,4,8,9,3,2,2,1,29,-0.966
chemist,4,10,7,3,2,2,1,29,-1.034
anthropologist,7,4,7,5,4,0,1,28,-1.036
judge,16,14,8,4,3,3,6,54,-1.056
physicist,6,9,6,2,2,0,3,28,-1.107
surfer,7,7,5,4,5,1,0,29,-1.138
professor,7,6,9,2,3,1,1,29,-1.172
nutritionist,5,5,10,4,3,0,0,27,-1.185
speech therapist,10,5,3,2,1,4,1,26,-1.192
psychologist,9,8,2,1,6,1,1,28,-1.214
priest,12,4,4,3,3,0,3,29,-1.241
pianist,7,6,6,4,3,1,0,27,-1.259
tour guide,8,6,5,6,3,0,0,28,-1.357
