Profession,-3,-2,-1,0,1,2,3,Total,Avg
musician,0,0,0,1,1,6,16,24,2.542
rock star,0,0,0,0,0,11,13,24,2.542
performer,0,0,0,1,1,10,15,27,2.444
designer,1,0,0,0,1,12,13,27,2.259
entrepreneur,0,0,1,2,2,7,16,28,2.25
entertainer,0,0,0,2,3,8,11,24,2.167
guitarist,0,1,0,1,3,11,12,28,2.107
illusionist,1,0,0,1,5,7,15,29,2.103
astronaut,0,1,0,3,2,6,14,26,2.077
drummer,0,0,0,3,3,11,10,27,2.037
professional dancer,1,0,0,1,2,15,9,28,2
movie star,0,0,0,3,5,6,10,24,1.958
comedian,1,0,0,1,6,11,11,30,1.933
art dealer,1,0,0,3,2,15,9,30,1.867
house decorator,1,0,1,1,5,13,9,30,1.8
surfer,1,0,0,4,4,9,10,28,1.75
violinist,0,0,1,3,5,7,8,24,1.75
activist,0,0,2,2,5,9,6,24,1.625
pianist,0,2,0,4,7,7,10,30,1.567
satirist,1,1,2,3,4,13,6,30,1.367
anthropologist,0,0,1,7,8,6,5,27,1.259
animal trainer,0,3,0,1,6,12,2,24,1.25
florist,1,0,2,3,5,9,4,24,1.25
private investigator,0,3,1,4,5,10,5,28,1.179
juggler,1,0,1,5,6,7,4,24,1.167
tour guide,2,1,0,3,4,7,5,22,1.136
scientist,2,1,2,3,4,5,7,24,1.042
cosmetician,0,1,1,7,7,4,4,24,1
travel agent,2,2,1,0,11,7,4,27,0.963
physicist,1,2,3,3,5,8,5,27,0.963
cheerleader,0,4,1,2,13,2,6,28,0.929
sociologist,1,2,1,5,3,9,3,24,0.917
runner,0,1,4,6,7,10,1,29,0.828
drug dealer,3,0,1,3,6,10,1,24,0.792
baker,1,2,2,3,4,8,2,22,0.773
cyclist,1,2,1,4,4,7,2,21,0.762
professor,1,4,2,5,1,6,5,24,0.625
computer expert,1,2,3,2,9,4,2,23,0.565
interpreter,2,2,0,5,6,5,2,22,0.545
archaeologist,1,2,3,2,7,6,1,22,0.545
dietician,0,3,0,9,6,6,0,24,0.5
psychologist,2,2,1,3,7,6,1,22,0.5
ceo,1,3,4,6,4,5,4,27,0.481
tennis coach,1,1,4,6,10,3,2,27,0.481
au pair,1,2,3,10,3,7,2,28,0.464
sniper,0,4,4,8,5,3,4,28,0.393
physiotherapist,1,2,4,7,7,5,1,27,0.333
football coach,0,4,4,6,9,3,2,28,0.321
diplomat,2,0,8,6,3,5,3,27,0.296
doctor,2,2,5,6,4,7,1,27,0.222
merchant,0,6,2,6,8,4,1,27,0.185
TOTAL,240,412,332,440,394,467,338,2623,0.178
speech therapist,2,3,4,6,9,4,1,29,0.138
chemist,3,3,5,6,4,3,4,28,0.071
prime minister,2,4,3,3,5,3,2,22,0
nutritionist,3,3,3,5,3,5,0,22,-0.227
chiropractor,1,2,4,13,3,1,0,24,-0.25
realter,1,4,4,7,7,1,0,24,-0.25
meteorologist,1,6,5,6,8,2,0,28,-0.286
defense lawyer,2,3,6,2,7,2,0,22,-0.318
juror,3,4,3,14,3,2,1,30,-0.333
businessman,2,4,6,8,4,2,1,27,-0.333
ambassador,4,7,6,2,4,4,3,30,-0.367
proscecutor,2,5,10,2,3,3,2,27,-0.407
attorney,2,9,3,5,4,2,2,27,-0.481
weatherman,3,5,5,7,6,2,0,28,-0.5
mathematician,5,6,3,4,5,3,1,27,-0.593
grocer,3,5,3,14,4,0,0,29,-0.621
lawyer,2,5,10,4,4,2,0,27,-0.667
veteran,2,8,0,10,2,2,0,24,-0.667
market analyst,6,5,6,3,4,3,1,28,-0.75
hotel manager,2,7,4,7,2,2,0,24,-0.75
politician,3,6,9,4,4,2,0,28,-0.786
recruiter,5,5,7,9,2,1,1,30,-0.833
manager,2,5,6,9,2,0,0,24,-0.833
lieutenant,4,7,3,4,3,3,0,24,-0.833
butcher,4,3,8,11,2,0,0,28,-0.857
comptroller,3,7,3,8,1,2,0,24,-0.875
cashier,4,6,5,8,3,1,0,27,-0.889
investment banker,7,5,5,5,4,1,1,28,-0.964
economist,3,9,9,5,1,1,1,29,-1.034
statistician,4,8,4,2,0,4,0,22,-1.091
financial analyst,8,6,5,3,2,2,1,27,-1.185
secretary,1,12,4,6,0,1,0,24,-1.208
judge,6,20,14,5,5,2,0,52,-1.212
naval officer,6,8,7,3,2,1,1,28,-1.214
senator,9,15,16,6,5,1,0,52,-1.269
teller,6,8,4,9,0,1,0,28,-1.286
congressman,4,11,5,8,1,0,0,29,-1.31
stockbroker,5,13,6,2,3,1,0,30,-1.4
banker,4,9,5,6,0,0,0,24,-1.458
rabbi,7,14,2,2,3,2,0,30,-1.467
sergeant,11,22,9,6,3,1,1,53,-1.472
bank manager,8,11,6,1,1,1,0,28,-1.75
probation officer,10,7,7,1,2,0,0,27,-1.815
priest,9,8,5,0,1,1,0,24,-1.875
accountant,11,9,5,3,0,0,0,28,-2
dry cleaner,7,12,4,1,0,0,0,24,-2.042
